Data/Hora;Placa;Nr. de Frota;Descricao;Modelo;Volume (l);Odometro;Horimetro;Custo(R$);Frentista;Cod. do Frentista;Bomba;Cod. da Bomba;Tanque;Cod do Tanque;Posto;Cod. do Posto
26/05/2025 16:42;CL3030;CL3030;Compactador 19M³;VW 26.260;164.000;41910;3846;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 16:53;PC2016;PC2016;Pá Carregadeira;636D;63.676;0;819;0.00;009 RONI;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 16:54;CL3034;CL3034;Compactador 19M³;VW 26.260;125.000;57210;5138;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 16:59;CL2001;CL2001;Compactador 15m³;VW 24.280 Mec;97.500;70140;6203;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:04;CL2003;CL2003;Compactador Planalto 15m³;VW 24.280 Mec;84.000;59356;5577;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:18;CS2015;CS2015;Compactador Planalto15m³;VW 17.260 Mec.;125.000;25337;1860;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:22;CL3004;CL3004;Compactador Usimeca 19m³;VW 24.260 Aut.;152.500;61904;5931;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 17:24;BS2004;BS2004;Baú Coleta Seletiva;-;79.000;146903;4469;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:37;CL3037;CL3037;Compactador Planalto 19m³;VW 26.260;54.000;35735;3112;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 17:41;CC21;CC21;Compactador 15m³;VW 17.260 Mec.;147.500;80836;7162;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 17:42;BS2003;BS2003;Baú Coleta Seletiva;-;39.500;73882;3168;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:54;CL3011;CL3011;Compactador Planalto 19m³;VW 24.260 Aut.;123.500;36749;3230;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 17:58;BS3004;BS3004;Baú Coleta Seletiva;Atego 2426;86.000;29790;2292;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 17:59;CL3019;CL3019;Compactador Planalto 19m³;VW 24.260 Aut.;76.133;50489;5327;0.00;013 JULIANA;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 18:05;CL2013;CL2013;Compactador Planalto15m³;VW 17.260 Mec.;68.500;137927;10566;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 18:10;CL3018;CL3018;Compactador Planalto 19m³;VW 24.260;98.500;56511;5539;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 18:23;CL3033;CL3033;Compactador 19M³;VW 26.260;164.500;53327;4535;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 18:34;CL3008;CL3008;Compactador Planalto 19m³;VW 24.260 Aut.;142.000;47986;4574;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 18:40;CL3027;CL3027;Compactador 19M³;VW 26.260;86.500;68908;5249;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 18:40;CC03;CC03;Compactador 15m³;VW 17.260 Mec.;113.000;45061;4560;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 18:42;CL2004;CL2004;Compactador Planalto 15m³;VW 24.280 Mec;71.500;62162;5987;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 18:44;CL3025;CL3025;Compactador 19M³;VW 26.260;101.500;54605;4720;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 18:45;CL2005;CL2005;Compactador Planalto15m³;VW 18.260;165.000;60300;5124;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 18:47;CL2016;CL2016;Compactador Planalto15m³;VW 17.260 Mec.;131.000;130697;9571;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 18:52;CL3016;CL3016;Compactador Planalto 19m³;VW 24.260;149.000;52302;5224;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 18:59;CL3014;CL3014;Compactador Planalto 19m³;VW 24.260 Aut.;160.000;53930;5330;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:08;CL2015;CL2015;Compactador Planalto15m³;VW 17.260 Mec.;96.000;135901;9545;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 19:11;CL3024;CL3024;Compactador Planalto 19m³;VW 24.260 Aut.;126.000;59599;5587;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:17;CL3022;CL3022;Compactador Planalto 19m³;VW 24.260 Aut.;180.000;59838;5335;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:20;CL3023;CL3023;Compactador Planalto 19m³;VW 24.260 Aut.;135.500;61535;5497;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 19:24;CL3036;CL3036;Compactador Planalto 19m³;VW 26.260;117.000;30004;3176;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 19:25;CL3021;CL3021;Compactador Planalto 19m³;VW 24.260 Aut.;180.000;60853;5529;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:31;CC02;CC02;Compactador 15m³;VW 17.260 Mec.;121.000;65221;6244;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:36;CL3013;CL3013;Compactador Planalto 19m³;VW 24.260 Aut.;131.000;57735;5485;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:38;CL3009;CL3009;Compactador Planalto 19m³;VW 24.260 Aut.;167.500;53196;5364;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 19:41;CL3017;CL3017;Compactador Planalto 19m³;VW 24.260;160.000;57411;5666;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:46;CL3007;CL3007;Compactador Usimeca 19m³;VW 24.260 Aut.;97.790;61769;6158;0.00;009 RONI;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 19:48;CC09;CC09;Compactador 15m³;VW 17.260 Mec.;70.000;68846;6330;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:48;CL19;CL19;Compactador 15m³;VW 17.260 Mec.;140.000;82471;7280;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 19:49;CL2007;CL2007;Compactador Planalto15m³;VW 18.260;107.371;56172;5199;0.00;009 RONI;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 19:53;CL3035;CL3035;Compactador Planalto 19m³;VW 26.260;155.000;34220;3363;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 19:55;CL2014;CL2014;Compactador Planalto15m³;VW 17.260 Mec.;78.500;126698;8620;0.00;006 ADAIAS;-;CONSORCIO LIMPA GYN - PA3 S10;-;PA3;-;CONSORCIO LIMPA GYN - PA3;-
26/05/2025 19:55;CL3039;CL3039;Compactador Planalto 19m³;VW 26.260;180.500;36401;3211;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:00;CL3010;CL3010;Compactador Planalto 19m³;VW 24.260 Aut.;135.000;5361;5361;0.00;002 SILVANETE;-;DIESEL S-10 ;-;PA1;-;CONSORCIO LIMPA GYN PA1;-
26/05/2025 20:05;CL3043;CL3043;Compactador Planalto 19m³;VW 24.260;124.000;29701;2919;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:12;CL3042;CL3042;Compactador Planalto 19m³;VW 24.260;126.000;33224;2981;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:18;CL3002;CL3002;Compactador Usimeca 19m³;VW 24.260 Aut.;182.500;58057;6112;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:27;CL2018;CL2018;Compactador Planalto15m³;VW 17.260 Mec.;66.000;98581;8873;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:29;CL3031;CL3031;Compactador 19M³;VW 26.260;161.219;50850;4836;0.00;009 RONI;-;DIESEL S-10 - 02;-;PA4 ;-;CONSORCIO LIMPA GYN PA4;-
26/05/2025 20:31;CL3006;CL3006;Compactador Usimeca 19m³;VW 24.260 Aut.;123.500;60782;5998;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
26/05/2025 20:38;CL2002;CL2002;Compactador 15m³;VW 24.280 Mec;131.500;57514;5685;0.00;004 HIGOR;-;DIESEL S-10;-;PA2;-;CONSORCIO LIMPA GYN PA2;-
